"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","Jahrestemperatur","Jahresniederschlag","LandkreisID","Kreis","Bevölkerung_Insg","Bevölkerungsentwicklung","Bevölkerung","Bundesland","Wintertemperatur","Wintertemperatur_Vorjahr","Frühlingsniederschlag","Sommerniederschlag","Sommertemperatur","Gesamt_Inzidenz"
2012,"3946","weiblich",19,NA,690.7,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",-0.95,0.586666666666667,97.95,85.9666666666667,15.79,30
2013,"3946","männlich",15,8.12,647.7,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",0.13,-0.95,131.7,99.7333333333333,15.42,41
2013,"3946","weiblich",26,8.12,647.7,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",0.13,-0.95,131.7,99.7333333333333,15.42,41
2014,"3946","männlich",33,9.77,547.5,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",2.29333333333333,0.13,43,67.9666666666667,15.6333333333333,87
2014,"3946","weiblich",54,9.77,547.5,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",2.29333333333333,0.13,43,67.9666666666667,15.6333333333333,87
2015,"3946","männlich",54,9.65,457.8,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",2.57333333333333,2.29333333333333,41.2,41,16.0333333333333,120
2015,"3946","weiblich",66,9.65,457.8,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",2.57333333333333,2.29333333333333,41.2,41,16.0333333333333,120
2016,"3946","männlich",77,9,644.5,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",1.33666666666667,2.57333333333333,82.6,84.3,16.2433333333333,191
2016,"3946","weiblich",114,9,644.5,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",1.33666666666667,2.57333333333333,82.6,84.3,16.2433333333333,191
2017,"3946","männlich",73,9.05,686.2,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",0.0633333333333333,1.33666666666667,65.6,78.6666666666667,16.6066666666667,174
2017,"3946","weiblich",101,9.05,686.2,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",0.0633333333333333,1.33666666666667,65.6,78.6666666666667,16.6066666666667,174
2018,"3946","männlich",89,NA,NA,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",1.01666666666667,0.0633333333333333,81.75,63.3333333333333,17.2933333333333,220
2018,"3946","weiblich",131,NA,NA,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",1.01666666666667,0.0633333333333333,81.75,63.3333333333333,17.2933333333333,220
